   5.41406E+08   1.67330E-22   7.67465E+03   3.15403E-05   9.99968E-01   1.56834E-04   8.19306E-01   1.80538E-01   1.63020E-07   1.20186E-02   9.87981E-01
   5.58594E+08   1.67330E-22   7.69497E+03   3.35373E-05   9.99966E-01   1.70399E-04   8.42426E-01   1.57404E-01   1.82798E-07   1.26527E-02   9.87347E-01
   5.75781E+08   1.67330E-22   7.66508E+03   3.56199E-05   9.99964E-01   1.83462E-04   8.48663E-01   1.51154E-01   2.05071E-07   1.32855E-02   9.86714E-01
   5.92969E+08   1.67330E-22   7.69241E+03   3.80860E-05   9.99962E-01   2.01753E-04   8.67295E-01   1.32503E-01   2.36031E-07   1.42776E-02   9.85722E-01
   6.10156E+08   1.67330E-22   7.67483E+03   4.05866E-05   9.99959E-01   2.09917E-04   8.44717E-01   1.55073E-01   2.68563E-07   1.51878E-02   9.84812E-01
   6.27344E+08   1.67330E-22   7.69217E+03   4.30524E-05   9.99957E-01   2.30659E-04   8.70379E-01   1.29391E-01   3.05783E-07   1.62416E-02   9.83758E-01
   6.44531E+08   1.67330E-22   7.67303E+03   4.57127E-05   9.99954E-01   2.49259E-04   8.76550E-01   1.23200E-01   3.45002E-07   1.71542E-02   9.82845E-01
   6.61719E+08   1.67330E-22   7.66970E+03   4.89975E-05   9.99951E-01   2.73792E-04   8.94053E-01   1.05673E-01   4.01425E-07   1.85549E-02   9.81445E-01
   6.78906E+08   1.67330E-22   7.66069E+03   5.19467E-05   9.99948E-01   2.96423E-04   8.99634E-01   1.00070E-01   4.75425E-07   2.05754E-02   9.79424E-01
   6.96094E+08   1.67330E-22   7.66117E+03   5.53281E-05   9.99945E-01   3.18905E-04   9.06594E-01   9.30872E-02   5.42843E-07   2.19628E-02   9.78037E-01
   7.13281E+08   1.67330E-22   7.65217E+03   5.89934E-05   9.99941E-01   3.41208E-04   9.09349E-01   9.03096E-02   6.13593E-07   2.32129E-02   9.76786E-01
   7.30469E+08   1.67330E-22   7.65693E+03   6.26390E-05   9.99937E-01   3.77834E-04   9.31435E-01   6.81869E-02   6.96637E-07   2.46519E-02   9.75347E-01
   7.47656E+08   1.67330E-22   7.65428E+03   6.68496E-05   9.99933E-01   4.04803E-04   9.37324E-01   6.22711E-02   7.91802E-07   2.61409E-02   9.73858E-01
   7.64844E+08   1.67330E-22   7.64338E+03   7.15683E-05   9.99928E-01   4.33338E-04   9.27120E-01   7.24465E-02   9.58889E-07   2.93946E-02   9.70604E-01
   7.82031E+08   1.67330E-22   7.66988E+03   7.62851E-05   9.99924E-01   4.80081E-04   9.51578E-01   4.79422E-02   1.08994E-06   3.12277E-02   9.68771E-01
   7.99219E+08   1.67330E-22   7.66339E+03   8.15440E-05   9.99918E-01   5.21672E-04   9.53171E-01   4.63076E-02   1.22041E-06   3.25149E-02   9.67484E-01
   8.16406E+08   1.67330E-22   7.65035E+03   8.66006E-05   9.99913E-01   5.53129E-04   9.54262E-01   4.51849E-02   1.42591E-06   3.54415E-02   9.64557E-01
   8.33594E+08   1.67330E-22   7.63736E+03   9.27915E-05   9.99907E-01   5.81822E-04   9.30687E-01   6.87309E-02   1.65074E-06   3.80754E-02   9.61923E-01
   8.50781E+08   1.67330E-22   7.62647E+03   9.93910E-05   9.99901E-01   6.34226E-04   9.32071E-01   6.72945E-02   1.90685E-06   4.06961E-02   9.59302E-01
   8.67969E+08   1.67330E-22   7.60751E+03   1.05313E-04   9.99895E-01   6.94311E-04   9.48398E-01   5.09078E-02   2.14420E-06   4.27400E-02   9.57258E-01
   8.85156E+08   1.67330E-22   7.58868E+03   1.12905E-04   9.99887E-01   7.43621E-04   9.30005E-01   6.92514E-02   2.48335E-06   4.58379E-02   9.54160E-01
   9.02344E+08   1.67330E-22   7.57683E+03   1.20564E-04   9.99879E-01   8.11288E-04   9.40695E-01   5.84940E-02   2.86297E-06   4.89472E-02   9.51050E-01
   9.19531E+08   1.67330E-22   7.56993E+03   1.28772E-04   9.99871E-01   8.83877E-04   9.49916E-01   4.91996E-02   3.28809E-06   5.20892E-02   9.47908E-01
   9.36719E+08   1.67330E-22   7.57161E+03   1.38491E-04   9.99862E-01   9.66042E-04   9.53097E-01   4.59369E-02   3.85667E-06   5.61539E-02   9.43842E-01
   9.53906E+08   1.67330E-22   7.57790E+03   1.49068E-04   9.99851E-01   1.05629E-03   9.57058E-01   4.18862E-02   4.42642E-06   5.93352E-02   9.40660E-01
   9.71094E+08   1.67330E-22   7.61130E+03   1.61796E-04   9.99838E-01   1.17457E-03   9.67156E-01   3.16698E-02   5.42556E-06   6.64610E-02   9.33534E-01
   9.88281E+08   1.67330E-22   7.60804E+03   1.73747E-04   9.99826E-01   1.27617E-03   9.62497E-01   3.62267E-02   6.48464E-06   7.30088E-02   9.26985E-01
   1.00547E+09   1.67330E-22   7.59026E+03   1.87474E-04   9.99813E-01   1.40560E-03   9.68479E-01   3.01154E-02   7.64869E-06   7.88154E-02   9.21177E-01
   1.02266E+09   1.67330E-22   7.59027E+03   2.02994E-04   9.99797E-01   1.53914E-03   9.71082E-01   2.73789E-02   8.87618E-06   8.33395E-02   9.16652E-01
   1.03984E+09   1.67330E-22   7.60206E+03   2.19695E-04   9.99780E-01   1.67680E-03   9.71861E-01   2.64626E-02   1.05507E-05   9.04428E-02   9.09547E-01
   1.05703E+09   1.67330E-22   7.62423E+03   2.39211E-04   9.99761E-01   1.86472E-03   9.75759E-01   2.23761E-02   1.26396E-05   9.77399E-02   9.02247E-01
   1.07422E+09   1.67330E-22   7.58505E+03   2.60432E-04   9.99740E-01   2.10645E-03   9.76527E-01   2.13661E-02   1.53988E-05   1.07466E-01   8.92519E-01
   1.09141E+09   1.67330E-22   7.62430E+03   2.84309E-04   9.99716E-01   2.33212E-03   9.73894E-01   2.37738E-02   1.92380E-05   1.21071E-01   8.78910E-01
   1.10859E+09   1.67330E-22   7.65975E+03   3.13556E-04   9.99686E-01   2.60113E-03   9.76890E-01   2.05085E-02   2.38460E-05   1.33806E-01   8.66170E-01
   1.12578E+09   1.67330E-22   7.71123E+03   3.48475E-04   9.99652E-01   2.86161E-03   9.64014E-01   3.31241E-02   2.94594E-05   1.46313E-01   8.53657E-01
   1.14297E+09   1.67330E-22   7.70728E+03   3.79149E-04   9.99621E-01   3.33293E-03   9.75110E-01   2.15572E-02   3.60348E-05   1.61806E-01   8.38158E-01
   1.16016E+09   1.67330E-22   7.71747E+03   4.20026E-04   9.99580E-01   3.76219E-03   9.72007E-01   2.42308E-02   4.69615E-05   1.85355E-01   8.14598E-01
   1.17734E+09   1.67330E-22   7.72553E+03   4.64375E-04   9.99536E-01   4.46503E-03   9.69087E-01   2.64482E-02   6.04708E-05   2.08954E-01   7.90986E-01
   1.19453E+09   1.67330E-22   7.77827E+03   5.22759E-04   9.99477E-01   5.09202E-03   9.73152E-01   2.17562E-02   7.45122E-05   2.23967E-01   7.75958E-01
   1.21172E+09   1.67330E-22   7.83095E+03   5.87616E-04   9.99412E-01   5.99318E-03   9.78787E-01   1.52198E-02   9.67261E-05   2.53573E-01   7.46331E-01
   1.22891E+09   1.67330E-22   7.90285E+03   6.65891E-04   9.99334E-01   7.24883E-03   9.77238E-01   1.55136E-02   1.29589E-04   2.90868E-01   7.09003E-01
   1.24609E+09   1.67330E-22   7.94569E+03   7.60166E-04   9.99240E-01   9.05794E-03   9.75233E-01   1.57087E-02   1.68540E-04   3.20366E-01   6.79465E-01
   1.26328E+09   1.67330E-22   8.02922E+03   8.71358E-04   9.99129E-01   1.13592E-02   9.79719E-01   8.92231E-03   2.27672E-04   3.68600E-01   6.31172E-01
   1.28047E+09   1.67330E-22   8.12741E+03   1.00959E-03   9.98990E-01   1.42937E-02   9.78969E-01   6.73739E-03   3.09677E-04   4.16610E-01   5.83080E-01
   1.29766E+09   1.67330E-22   8.23666E+03   1.19206E-03   9.98808E-01   2.01344E-02   9.74576E-01   5.28967E-03   4.34367E-04   4.76611E-01   5.22955E-01
   1.31484E+09   1.67330E-22   8.39129E+03   1.43087E-03   9.98569E-01   2.98770E-02   9.66908E-01   3.21521E-03   6.48749E-04   5.72551E-01   4.26801E-01
